Unidade Orçamentária,2017,2018,2019,2020,2021,2022,2023,2024,Is_Outlier
FUN.UNIV.FED.DE CIENCIAS DA SAUDE DE P.ALEGRE,2364.6761472081216,1875.0598288288288,1848.386373873874,4420.685590551182,10414.022997118156,11991.08404347826,819.3009094242758,837.2187349397591,Outlier
FUND. UNIVERSIDADE FEDERAL VALE SAO FRANCISCO,2204.146824055666,1993.4763499638466,337.4801016146993,201.99864377682403,275.5107565953211,111.45505305867665,562.4859115146274,518.2316266704986,Normal
FUNDACAO UNIVERSIDADE DE BRASILIA,860.0638591912818,929.1989305698298,640.0709004804019,482.7536900323449,322.6694269108925,686.765805901831,1388.9396114086437,1245.7054447133191,Normal
FUNDACAO UNIVERSIDADE DO AMAZONAS,1224.7637252914344,372.7023398649761,491.8381703877391,902.4153539137175,651.1692556214996,827.7567019267095,1143.0699245631174,670.689612037264,Normal
FUNDACAO UNIVERSIDADE DO MARANHAO,439.0897650385103,314.960726574352,87.86806547951322,101.83430635297887,137.90696041351487,214.1711036008357,340.4470340866112,271.3483078635531,Normal
FUNDACAO UNIVERSIDADE FED. DA GRANDE DOURADOS,1037.7744715886083,1878.2453673163418,793.6437246501,775.3323836046843,413.24729791488147,709.8223950299914,1542.7001513853186,1349.1535035685963,Normal
FUNDACAO UNIVERSIDADE FED.DE MATO GROS.DO SUL,1282.9911464850936,1012.1848325906298,766.7678122365411,546.5111870523882,564.6030519618239,397.9689748336419,1083.067800142079,982.8679132240942,Normal
FUNDACAO UNIVERSIDADE FEDERAL DE MATO GROSSO,732.4846380518749,501.97730578846347,240.15212478287404,158.3565887018864,1146.9726222690474,563.9053780487804,859.2079833412339,1239.03023413641,Normal
FUNDACAO UNIVERSIDADE FEDERAL DE OURO PRETO,500.93940506232315,445.1662051125989,268.01072264337506,219.08419815145126,245.37851033272162,414.0538281495444,323.6221444590519,371.4302485559251,Normal
FUNDACAO UNIVERSIDADE FEDERAL DE PELOTAS,304.44705588707825,584.5563614360628,228.4900132377275,168.34423143835232,224.06989548232337,224.62392487498545,372.890961037423,366.25982678214524,Normal
FUNDACAO UNIVERSIDADE FEDERAL DE RONDONIA,2128.9475856582158,971.8434488770383,420.19671082274493,372.86755592621665,234.92819425002693,701.8299069434502,2590.0961527146296,1121.1259297404065,Normal
FUNDACAO UNIVERSIDADE FEDERAL DE S.J.DEL-REI,1003.6490911815389,872.7182391950606,2494.570838957777,407.7187279993851,517.7022409638554,224.39852313823897,232.2227541790289,48.20952914059927,Normal
FUNDACAO UNIVERSIDADE FEDERAL DE SAO CARLOS,717.3298093852867,501.1345898090157,334.0721905270384,172.23155805243445,91.45690190595334,156.00701113682385,105.19219576343475,148.455624164066,Normal
FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE,1458.8478631838134,973.1355406134263,575.0507666475863,593.455904005633,446.96920154074553,482.8671616835516,641.9954906522291,475.443461260572,Normal
FUNDACAO UNIVERSIDADE FEDERAL DE TOCANTINS,1832.4947527518577,1362.673626973762,588.1219845406101,110.4196158757726,165.6915359876795,280.8687516783985,209.45654614617573,282.27044336623726,Normal
FUNDACAO UNIVERSIDADE FEDERAL DE UBERLANDIA,779.910084292213,336.98343519933326,531.5139715318572,530.7653282470648,259.2447046052936,377.6243080013079,385.09491237186455,252.05571555336456,Normal
FUNDACAO UNIVERSIDADE FEDERAL DE VICOSA,1620.710836671117,1001.6781367251988,617.3542731212812,389.2635483394834,481.7939771631942,641.8320165375447,651.6253173177669,753.1342773794461,Normal
FUNDACAO UNIVERSIDADE FEDERAL DO ABC,2110.519585560326,1669.2713918505663,1093.781415153907,328.26026824112546,333.6039698016115,899.062291693008,609.0128728954234,230.04507132018207,Normal
FUNDACAO UNIVERSIDADE FEDERAL DO ACRE,1643.7571058458814,1311.0003927264902,1687.0806042817678,1212.1126362559241,976.3693200683593,1029.059621097684,2714.380443029752,1811.788791436464,Normal
FUNDACAO UNIVERSIDADE FEDERAL DO AMAPA,5461.643423312883,5033.497617424242,8012.957482036543,7147.274076171876,2793.433844291302,1016.581474724101,1880.9159991478484,1134.2415759335431,Normal
FUNDACAO UNIVERSIDADE FEDERAL DO PAMPA,1306.9866503694045,1671.1615894715364,1028.2323875365141,1103.2826422250316,907.8490920554856,1732.9419523660297,5667.277752403846,390.890426934388,Normal
FUNDACAO UNIVERSIDADE FEDERAL DO PIAUI,1102.3476994301993,846.9322019884877,183.33649406847016,312.6691619116726,177.01032624592193,170.1952557028025,176.52373528196654,360.05996904024767,Normal
UNIV.DA INTEG.INTERN.DA LUSOF.AFRO-BRASILEIRA,2889.3436712328767,803.1450604567846,1463.2453242461793,373.8270033044197,1123.0801776125568,469.8572428748451,609.2290747624949,467.9157352333747,Normal
UNIV.FED.DO SUL E SUDESTE DO PARA - UNIFESSPA,17038.7826,6017.200661290322,2528.8164744525548,4042.866771428571,2647.990759493671,3624.7445309090904,4049.837746153846,2284.1939779411764,Normal
UNIVERS. FEDERAL DA INTEG. LATINO AMERICANA,23721.945338129495,15486.18771641791,5930.202713780918,8404.2509352518,7082.910604316547,19803.24628242075,6319.651187969925,12824.521917355372,Outlier
UNIVERSIDADE FED.VALES JEQUITINHONHA E MUCURI,14148.373979984604,6828.25909090909,1814.5949686520378,2441.661209486166,10690.329248466258,5004.59576284585,4833.2603320158105,1788.0339769230768,Normal
UNIVERSIDADE FEDERAL DA BAHIA,14069.467080645161,16532.136097560975,9507.133155339807,4906.564014360313,4776.801754498715,1692.7819152144773,8143.833936170213,1314.318476021886,Outlier
UNIVERSIDADE FEDERAL DA FRONTEIRA SUL,12468.870299305185,7576.57239978621,4724.493099946552,8732.112740447958,7729.77731884058,6406.218257616248,6246.919668421052,5092.73694906445,Outlier
UNIVERSIDADE FEDERAL DA PARAIBA,1907.8773992297818,2060.710796065574,1217.0683083333333,1121.7203772865855,1706.0122413350448,1501.7694098360655,1284.5289200000002,4345.2192141935475,Normal
UNIVERSIDADE FEDERAL DE ALAGOAS,3672.2073873546515,1741.615839919287,1690.0166251667406,696.619389540294,1672.2334643435981,1885.5175,2294.3763636363637,1236.4758362529965,Normal
UNIVERSIDADE FEDERAL DE ALFENAS,5334.299207048458,1976.246877753304,1323.281624449339,1950.4977533039648,2021.1072522026432,3883.73300660793,3779.4733370044055,3608.427871602082,Normal
UNIVERSIDADE FEDERAL DE CAMPINA GRANDE,2275.4247283145623,1282.6630112625962,1472.7121794111836,1362.8179134558388,891.6576684449714,1005.0352440229204,2032.5669176052163,8542.51629531388,Normal
UNIVERSIDADE FEDERAL DE GOIAS,5606.55455145326,3031.1265498821685,1360.7040182569756,1227.302248603352,965.4979790697674,1035.3142138649753,1089.4010831781502,2172.733211111111,Normal
UNIVERSIDADE FEDERAL DE ITAJUBA - MG,1115.7793398002027,895.4011206022875,673.9357625305623,4877.128068561873,5842.151195652174,2713.6585133333333,2826.16229,4568.099934959349,Normal
UNIVERSIDADE FEDERAL DE JATAI,0.0,0.0,442.6520304568528,1108.3160370370372,2334.742037037037,959.5821574074074,2197.5287037037037,1535.1726296296297,Normal
UNIVERSIDADE FEDERAL DE JUIZ DE FORA,5183.899997860048,3791.9941664883368,2753.9988808046223,3176.05276909908,1372.347072544404,1442.8165140166916,1198.3131928097582,2478.182363394047,Normal
UNIVERSIDADE FEDERAL DE LAVRAS,6894.414416791605,3950.170368815592,7347.439535232383,3535.489250374813,2738.2821199400296,2419.733043478261,1606.8953283358321,2092.28855361596,Normal
UNIVERSIDADE FEDERAL DE MINAS GERAIS,4746.597780931493,2576.490548316346,2093.8951580441235,1871.706101148239,1538.5824229131726,1965.8026628822088,2919.964105276739,3150.3307432432434,Normal
UNIVERSIDADE FEDERAL DE PERNAMBUCO,3369.9442139240505,3357.1526025316452,1434.2611278481013,2446.0995278481014,2848.074075949367,2355.483724050633,2733.2766037974684,4718.595725979603,Normal
UNIVERSIDADE FEDERAL DE RORAIMA,3332.052634730539,2327.9145890038103,3674.368519324986,2573.5870005443658,1476.0727708219924,4564.394567229178,5149.826390854654,9817.247434210525,Normal
UNIVERSIDADE FEDERAL DE SANTA CATARINA,3183.7405597964375,3667.455661577608,1873.3888206106872,1675.8828587786259,2259.7098982188295,1396.5502302798982,1796.2884223918575,1579.1155182320442,Normal
UNIVERSIDADE FEDERAL DE SANTA MARIA,5741.096613516677,3627.959375365711,1862.6634332943242,1345.8698200702165,3220.68185927443,3831.530727033353,2882.2786527208896,3734.378815908406,Normal
UNIVERSIDADE FEDERAL DE SAO PAULO,12840.731996933691,10794.25606362591,6135.9963106137675,8480.84103360117,6987.356466758054,9216.273602401601,15132.36250678426,7259.416470980653,Outlier
UNIVERSIDADE FEDERAL DO AGRESTE DE PERNAMBUCO,0.0,0.0,52.56722129783694,1715.6758069883529,3253.5664725457573,3609.0732279534104,3580.1404825291183,1204.9102203182374,Normal
UNIVERSIDADE FEDERAL DO CARIRI - UFCA,5625.876822962314,4679.478558232931,1640.6708092056422,1408.2689903489236,2420.640325301205,1377.2871019677998,497.75964818127613,107.37559014267184,Normal
UNIVERSIDADE FEDERAL DO CEARA,1308.81875944152,705.7948289973691,401.13275078799506,317.9939584601339,599.5280483080779,253.32831225551632,418.11332574267675,448.35604768909724,Normal
UNIVERSIDADE FEDERAL DO DELTA DO PARNAIBA,0.0,0.0,259.1212557603687,2728.2542165898617,1409.6336405529953,2952.063421658986,3511.933352534562,1529.005875576037,Normal
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1319.3125617029084,1102.745643637031,832.855755573906,4954.5664703183775,1249.4259409120102,913.3289668776952,1398.841285439031,1562.4553417744746,Normal
UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,4852.757417820526,4050.8918137617593,3359.6298118592113,1816.1425673818833,2108.999208328929,2857.649277032026,1727.6883183595817,996.041831730261,Normal
UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,2832.9501961071273,3517.8733118688715,1000.5309527294014,2568.9769149714616,1020.3950343919215,1427.210553197717,2603.259723401142,1114.778820430265,Normal
UNIVERSIDADE FEDERAL DO SUL DA BAHIA,10106.23131118881,25599.654825174825,8034.692674825174,4767.474248251749,14056.326346153846,18894.95410839161,4029.8831993006993,6124.614108391608,Outlier
UNIVERSIDADE FEDERAL FLUMINENSE,1367.8725962640772,1394.4948175871602,1367.5095974104795,1221.7801193607122,1026.8627075325376,3383.240658844157,3100.335106210803,1448.8034243711647,Normal
UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,4783.9438494934875,4366.716274550341,2598.897899524499,866.4866983667563,1059.372671077114,1065.6354021087452,670.377242092206,3790.984221624974,Normal
UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO,1392.7583407079646,1050.0058075221239,1279.1594745575221,612.0497658554573,639.8333923303835,674.0696146755162,1247.5679314159293,682.4088882743363,Normal
UNIVERSIDADE FEDERAL RURAL DO SEMI-ARIDO,2829.5011429832302,766.6339685295713,411.18367598944593,848.0879451612902,651.6612731602054,738.3694437744949,571.5680856195357,369.7774927648761,Normal
UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA,1710.7792061275934,1432.8498428241076,730.3505352898626,555.4884042203524,354.2770060326933,695.8656659216408,562.082913100294,810.816195925387,Normal
